finding	file_path	record_id	ingredient	value	unit	detail
INDICATOR_UNIT_SLIP	bacterial/0_01_lb_seawater_medium.yaml	CultureMech:002439	Vitamin B12	1	G_PER_L	1 G_PER_L indicator/vitamin — normally mg/L; likely a 1000x unit slip
INDICATOR_UNIT_SLIP	bacterial/0_01_lb_seawater_medium.yaml	CultureMech:002439	Biotin	1	G_PER_L	1 G_PER_L indicator/vitamin — normally mg/L; likely a 1000x unit slip
INDICATOR_UNIT_SLIP	bacterial/0_01_lb_seawater_medium.yaml	CultureMech:002439	Thiamine HCl	100	G_PER_L	100 G_PER_L indicator/vitamin — normally mg/L; likely a 1000x unit slip
WATER_AS_VOLUME	bacterial/0_01_lb_seawater_medium.yaml	CultureMech:002439	Sea water	1000	G_PER_L	1000 G_PER_L water — reads as a preparation volume, not a concentration
INDICATOR_UNIT_SLIP	bacterial/0_3_x_hyphomicrobium_medium.yaml	CultureMech:002268	Vitamin B12	0.25	G_PER_L	0.25 G_PER_L indicator/vitamin — normally mg/L; likely a 1000x unit slip
TRACE_SALT_AS_STOCK	bacterial/0_3_x_hyphomicrobium_medium.yaml	CultureMech:002268	ZnSO4 x 7 H2O	4.4	G_PER_L	4.4 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/0_3_x_hyphomicrobium_medium.yaml	CultureMech:002268	MnCl2 x 4 H2O	1.012	G_PER_L	1.012 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/1650_medium_for_strain_j5b.yaml	CultureMech:001132	FeSO4 x 7 H2O	2.0751	G_PER_L	2.0751 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/16av_medium.yaml	CultureMech:004770	FeCl2 x 4 H2O	1.5	G_PER_L	1.5 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
INDICATOR_UNIT_SLIP	bacterial/16av_medium.yaml	CultureMech:004770	Vitamin B12	0.1	G_PER_L	0.1 G_PER_L indicator/vitamin — normally mg/L; likely a 1000x unit slip
INDICATOR_UNIT_SLIP	bacterial/16av_medium.yaml	CultureMech:004770	Nicotinic acid	0.2	G_PER_L	0.2 G_PER_L indicator/vitamin — normally mg/L; likely a 1000x unit slip
INDICATOR_UNIT_SLIP	bacterial/16av_medium.yaml	CultureMech:004770	Pyridoxine hydrochloride	0.3	G_PER_L	0.3 G_PER_L indicator/vitamin — normally mg/L; likely a 1000x unit slip
INDICATOR_UNIT_SLIP	bacterial/16av_medium.yaml	CultureMech:004770	Thiamine-HCl x 2 H2O	0.2	G_PER_L	0.2 G_PER_L indicator/vitamin — normally mg/L; likely a 1000x unit slip
TRACE_SALT_AS_STOCK	bacterial/16av_medium_replace_galactose_with_cellobiose.yaml	CultureMech:004769	FeCl2 x 4 H2O	1.5	G_PER_L	1.5 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
INDICATOR_UNIT_SLIP	bacterial/16av_medium_replace_galactose_with_cellobiose.yaml	CultureMech:004769	Vitamin B12	0.1	G_PER_L	0.1 G_PER_L indicator/vitamin — normally mg/L; likely a 1000x unit slip
INDICATOR_UNIT_SLIP	bacterial/16av_medium_replace_galactose_with_cellobiose.yaml	CultureMech:004769	Nicotinic acid	0.2	G_PER_L	0.2 G_PER_L indicator/vitamin — normally mg/L; likely a 1000x unit slip
INDICATOR_UNIT_SLIP	bacterial/16av_medium_replace_galactose_with_cellobiose.yaml	CultureMech:004769	Pyridoxine hydrochloride	0.3	G_PER_L	0.3 G_PER_L indicator/vitamin — normally mg/L; likely a 1000x unit slip
INDICATOR_UNIT_SLIP	bacterial/16av_medium_replace_galactose_with_cellobiose.yaml	CultureMech:004769	Thiamine-HCl x 2 H2O	0.2	G_PER_L	0.2 G_PER_L indicator/vitamin — normally mg/L; likely a 1000x unit slip
