label_key	action	canonical_name
yeast extract	deground
mgcl2 x 6 h2o	resolve	magnesium chloride hexahydrate
nano3	resolve	sodium nitrate
na2seo3 x 5 h2o	resolve	sodium selenite
deionized water	resolve	water
ki	resolve	potassium iodide
polypeptone	deground
trace vitamins (see medium no. 197)	deground
soil	deground
mnso4 x 4 h2o	resolve	manganese(2+) sulfate tetrahydrate
potassium phosphate buffer	deground
n-z amine	deground
thiamine solution (see medium no. 403)	deground
vitamin solution (see medium no. 403)	deground
na3-edta	resolve	trisodium EDTA
fena-edta	deground
potato	deground
tomato juice	deground
voso4 x 2 h2o	resolve	vanadyl sulfate
mg(so4) x 7 h2o	resolve	magnesium sulfate heptahydrate
skim milk	deground
columbia agar base	deground
ground beef	deground
h2seo3	resolve	selenous acid
rabbit serum	deground
trace element solution	deground
bovine serum albumin	deground
sodium glycerophosphate	resolve	sodium glycerophosphate
soil extract	deground
vitamin solution	deground
cmrl 1066	deground
na2wo2 x 2 h2o	resolve	sodium tungstate dihydrate
neopeptone	deground
oatmeal	deground
tris-hcl	resolve	tris hydrochloride
tryptose-phosphate	deground
b12	resolve	cyanocobalamin
bovine albumin	deground
bovine serum	deground
cereal leaves	deground
dehydrated rcm medium	deground
h3bo4	resolve	boric acid
horikoshi-i medium	deground
maltose monohydrate	resolve	maltose monohydrate
na2-9,10-anthraquinone-2,6-disulfonate	resolve	anthraquinone-2,6-disulfonate
oat flakes	deground
selenite-tungstate solution	deground
ticl3	resolve	titanium trichloride
tryptose	deground
baker's yeast	deground
fe(iii)nh4-edta	deground
fe2(so4)3 x h2o	resolve	iron(3+) sulfate
glacial acetic acid	resolve	acetic acid
leibovitz's l-15 medium	deground
n-z-case	deground
na-aspartate	resolve	sodium L-aspartate
na2hpo4-nah2po4 buffer	deground
phosphate buffer	deground
reinforced clostridial medium	deground
rye grass	deground
voso4 x 5 h2o	resolve	vanadyl sulfate
voso4 x h2o	resolve	vanadyl sulfate
yeast nitrogen base	deground
air-dried garden soil	deground
ampicillin sodium salt	resolve	ampicillin sodium
basal mineral nacl medium	deground
ce(no3)3 x 6 h2o	resolve	cerium(3+) nitrate hexahydrate
cellobiose or cellulose mn 300	deground
cystein-hcl x 2 h2o	resolve	L-cysteine hydrochloride
czapek-dox liquid medium	deground
dehydrated wilkins-chalgren medium	deground
fe(nh4)2(so4)2	resolve	ferrous ammonium sulfate
fe(nh4)2(so4)2 x 12 h2o	resolve	ferrous ammonium sulfate
hemicalcium d-(+)-pantothenate	resolve	calcium D-pantothenate
hipolypepton	deground
kj	resolve	potassium iodide
la(no3)3 x 6 h2o	resolve	lanthanum(3+) nitrate hexahydrate
liver extract	deground
mem alpha modification	deground
na-caseinate	deground
na-meta silicate	resolve	sodium metasilicate
na-tungstate x 2 h2o	resolve	sodium tungstate dihydrate
na3-nta x h2o	resolve	trisodium nitrilotriacetate
nitrilotriacetic acid trisodium salt monohydrate	resolve	trisodium nitrilotriacetate
salt solution i	deground
salt solution ii	deground
salt water	deground
sodium dl-lactate	resolve	sodium lactate
sodium phosphate buffer	deground
sodium potassium phosphate buffer	deground
solution a	deground
trace metal solution	deground
trace mineral solution	deground
white wine	deground
zncl2 x 6 h2o	resolve	zinc dichloride
α-d-glucose monohydrate	resolve	alpha-D-glucose
(-)-chloramphenicol	resolve	chloramphenicol
84 g/l nahco3 solution	deground
activated carbon	deground
alpha-ketoglutamate	resolve	2-oxoglutaric acid
asialofetuin	deground
bacto bitone	deground
bacto panton	deground
basal salts solution	deground
beef	deground
beef brain powder	deground
betaine hydrochloride	resolve	betaine hydrochloride
bovine horn meal	deground
butyl vinyl ether	resolve	butyl vinyl ether
ca(no3)2 x 6 h2o	resolve	calcium nitrate
calcium malate	resolve	calcium malate
cobalamine	resolve	cobalamin
cooked meat medium	deground
corn meal	deground
corn steep liquor	deground
corn steep powder	deground
cow manure	deground
cow's milk	deground
crk(so4)2 x 12 h2o	resolve	chromium potassium sulfate dodecahydrate
diced potato	deground
dichloran-glycerol-agar base	deground
dl-tryptophan	resolve	tryptophan
dry cow-manure	deground
dung extract	deground
ebios	deground
ferrous citrate	resolve	iron(2+) citrate
fig	deground
garden soil	deground
homo-pipes	resolve	homopipes
homopipes	resolve	homopipes
hy-case amino	deground
k-phosphate buffer	deground
k2hso4	resolve	potassium hydrogen sulfate
kh2po3	resolve	potassium phosphite
kh2po4 x 2 h2o	resolve	potassium dihydrogen phosphate
kh2po4 x 7 h2o	resolve	potassium dihydrogen phosphate
l-15 medium	deground
l-15 powder	deground
l-cysteine x hcl x h2o solution	resolve	L-cysteine hydrochloride
l-ornithine hcl	resolve	L-ornithine hydrochloride
lacl3 x 7 h2o	resolve	lanthanum trichloride
larchwood xylan	deground
leptospira medium base emjh	deground
li2b4o7	resolve	lithium tetraborate
lipoprotein concentrate	deground
liver concentrate	deground
maize extract	deground
maize meal	deground
marmite	deground
menadione solution	deground
metall salt sol. 44	deground
methanol solution (see below)	deground
mg(no3)2 x 6 h2o	resolve	magnesium nitrate hexahydrate
mgcl2 x 4 h2o	resolve	magnesium chloride
micronutrient solution	deground
milk	deground
mineral solution (see medium no. 976	deground
mn(ii) x edta	deground
mncl2 x 6 h2o	resolve	manganese(2+) chloride
mncl4 x 4 h2o	resolve	manganese(2+) chloride tetrahydrate
mncl4 x 6 h2o	resolve	manganese(2+) chloride
modified trace vitamins	deground
modified wolfe's minerals	deground
na acetate x 3 h2o	resolve	sodium acetate trihydrate
na-glycerol phosphate	resolve	sodium glycerophosphate
na-nitrilotriacetat	resolve	trisodium nitrilotriacetate
na-phosphate-buffer	deground
na-tartrate	resolve	sodium tartrate
na2 beta-glycerol po4 x 5 h2o	resolve	sodium glycerophosphate
na2-tartrate x 2 h2o	resolve	sodium tartrate
na2-ß-glycerophosphate x 5 h2o	resolve	sodium glycerophosphate
na2hpo4-kh2po4 buffer	deground
na2moo7 x 2 h2o	resolve	sodium molybdate dihydrate
na2moo7o4 x 2 h2o	resolve	sodium molybdate dihydrate
na2o4w x 2 h2o	resolve	sodium tungstate dihydrate
na2s2o4 x 2 h2o	resolve	sodium dithionite
na2se2o3	resolve	sodium selenite
na2wo4 x 6 h2o	resolve	sodium tungstate
na3-citrate x 3 h2o	resolve	trisodium citrate dihydrate
na3-citrate x 5 h2o	resolve	trisodium citrate
nanh4hpo4 x 4 h2o	resolve	ammonium sodium hydrogen phosphate
ndcl3 x 6 h2o	resolve	neodymium trichloride
oxgall	deground
phytone	deground
pipes buffer	resolve	PIPES
poly hexamethylene carbonate	deground
poly-ß-hydroxybutyric acid	deground
poly[(r)-3-hydroxybutyric acid]	deground
potassium aspartate	resolve	potassium aspartate
potassium glutamate	resolve	monopotassium L-glutamate
potato flour	deground
prcl3 x h2o	resolve	praseodymium trichloride
probumin universal grade	deground
pulp of sour stone cherries	deground
putrescine 2 hcl	resolve	putrescine dihydrochloride
pyridoxin	resolve	pyridoxine
riboflavin solution (see medium no. 462)	deground
rolled oats	deground
s6 medium	deground
sabouraud- glucose-bouillon	deground
sake	deground
salts solution	deground
se-acid	deground
selenite-tungstate solution (see medium no. 431)	deground
sigma sea salts	deground
sl10	deground
sludge	deground
sodium carbonate solution	deground
sodium crotonate	resolve	sodium crotonate
sodium polygalacturonate	deground
soy flour	deground
soya pepton	deground
srso4	resolve	strontium sulfate
steric solution	deground
substrate	deground
sugar	deground
sugar beet molasses	deground
taps	resolve	TAPS
taps sodium salt	resolve	TAPS
titriplex1	resolve	nitrilotriacetic acid
tomato extract	deground
toray silicone sh 5535	deground
trace element solution (see medium no. 187	deground
trace element solution sl12	deground
trace minerals	deground
trace minerals (see medium no. 151	deground
trace minerals (see medium no. 197	deground
trace vitamins solution (see medium no. 284)	deground
trisodium citrate x h2o	resolve	trisodium citrate
tropic marine salt	deground
v-8 juice	deground
v8 canned vegetable juice	deground
vitamins solution	deground
vitamins-solution	deground
yeast	deground
yeast autolysate	deground
yeast cell paste	deground
zeikus trace element solution	deground
ß-nad	resolve	NAD
ß-nicotinamide adenine dinucleotide	resolve	NAD
