file_path	record_id	name	undefined_components	n_undefined	undefined_g_per_l	verdict
archaea/KOMODO_141_METHANOGENIUM_medium.yaml	CultureMech:004144	methanogenium_medium	Yeast extract; Trypticase peptone	2	3.94866	CURATOR: SEMI_DEFINED?
archaea/KOMODO_390_PYROBACULUM_MEDIUM.yaml	CultureMech:005172	pyrobaculum_medium	Trypticase peptone; Yeast extract	2	0.69307	CURATOR: SEMI_DEFINED?
archaea/KOMODO_927_HALORHABDUS_UTAHENSIS_medium.yaml	CultureMech:006845	halorhabdus_utahensis_medium	Yeast extract	1	1	CURATOR: SEMI_DEFINED?
archaea/halorhabdus_utahensis_medium.yaml	CultureMech:002099	halorhabdus_utahensis_medium	Yeast extract	1	1	CURATOR: SEMI_DEFINED?
archaea/methanococcus_sp_medium.yaml	CultureMech:004145	methanococcus_sp_medium	Yeast extract; Trypticase peptone	2	3.94866	CURATOR: SEMI_DEFINED?
archaea/methanogenium_medium_h2_co2.yaml	CultureMech:000254	methanogenium_medium_h2_co2	Yeast extract; Trypticase peptone	2	3.94866	CURATOR: SEMI_DEFINED?
archaea/pyrobaculum_medium.yaml	CultureMech:001497	pyrobaculum_medium	Trypticase peptone; Yeast extract	2	0.69307	CURATOR: SEMI_DEFINED?
bacterial/NBRC_1158.yaml	CultureMech:007459	1158	Tryptone (Diffico)10gGlucose3gAgar10gDistilled water1L	1		CURATOR: unquantified
bacterial/for_dsm_13380.yaml	CultureMech:005170	for_dsm_13380	Trypticase peptone; Yeast extract	2	0.69307	CURATOR: SEMI_DEFINED?
bacterial/for_dsm_13514.yaml	CultureMech:005171	for_dsm_13514	Trypticase peptone; Yeast extract	2	0.69307	CURATOR: SEMI_DEFINED?
bacterial/for_dsm_14042.yaml	CultureMech:004140	for_dsm_14042	Yeast extract; Trypticase peptone	2	3.94866	CURATOR: SEMI_DEFINED?
bacterial/for_dsm_1497_dsm_1537_dsm_2067_dsm_2279_dsm_2373_dsm_17251_and_dsm17508.yaml	CultureMech:004129	for_dsm_1497_dsm_1537_dsm_2067_dsm_2279_dsm_2373_dsm_17251_and_dsm17508	Yeast extract; Trypticase peptone	2	3.94866	CURATOR: SEMI_DEFINED?
bacterial/for_dsm_15219_dsm_16458_and_dsm_18860.yaml	CultureMech:004128	for_dsm_15219_dsm_16458_and_dsm_18860	Yeast extract; Trypticase peptone	2	3.94866	CURATOR: SEMI_DEFINED?
bacterial/for_dsm_15558_and_dsm_16458.yaml	CultureMech:004141	for_dsm_15558_and_dsm_16458	Yeast extract; Trypticase peptone	2	3.94866	CURATOR: SEMI_DEFINED?
bacterial/for_dsm_2095.yaml	CultureMech:004132	for_dsm_2095	Yeast extract; Trypticase peptone	2	3.94866	CURATOR: SEMI_DEFINED?
bacterial/for_dsm_21626.yaml	CultureMech:004124	for_dsm_21626	Yeast extract; Trypticase peptone	2	3.94866	CURATOR: SEMI_DEFINED?
